year,yearfrom,yearto,lat,long,months,dist,withwhom,street
1999,1999 09,2000 07,47.473.758,19.078.497,12,9.,g,Vágóhíd utca
2000,2000 08,2001 02,47.507.615,19.060.999,6,6.,g,Szalmás Piroska utca
2001,2001 02,2001 03,47.514.199,19.144.834,1,14.,g,Csertő utca
2001,2001 03,2001 09,47.522.956,19.101.178,6,14.,a,Nagy Lajos Király útja
2001,2001 09,2002 07,47.504.598,19.079.124,12,7.,g,Marek József utca
2002,2002 08,2003 07,47.508.8,19.078.557,12,7.,g,Damjanich utca
2003,2003 08,2004 08,47.477.688,19.052.543,12,11.,g,Lágymányosi utca
2004,2004 09,2005 08,47.475.479,19.053.315,12,11.,g,Budafoki út
2005,2005 09,2006 08,47.477.363,19.052.879,12,11.,g,Lágymányosi utca
2006,2006 08,2010 09,47.505.324,19.085.791,50,7.,b,Cserhát utca
2010,2010 9,2010 11,47.502.697,19.026.662,2,1.,b,Attila út
2010,2010 11,2011 01,47.487.506,19.065.444,2,9.,a,Üllői út
2011,2011 01,2013 03,47.489.421,19.034.744,24,1.,a,Hegyalja út
2013,2013 03,2015 02,47.503.429,19.055.281,24,6.,b,Bajcsy-Zsilinszky út
2015,2015 03,2015 07,47.494.671,19.015.321,4,12.,a,Hollósy Simon utca
2015,2015 08,2016 10,47.524.662,18.997.032,15,2.,a,Balogh Ádám utca
2016,2016 11,current,47.497.896,19.004.045,12,12.,b,Kakukk út